产品名称,产品编号,产品型号,产品主图,规格产品编号,离岸价,产品净重(kg)
PT100  retaining cap  60501,PT100  retaining cap  60501,,,PT100  retaining cap  60501, ,
PT100  swirl ring  60026,PT100  swirl ring  60026,,,PT100  swirl ring  60026, ,
PT100  nozzle  1.5,PT100  nozzle  1.5,,,PT100  nozzle  1.5, ,
PT100  electrode,PT100  electrode,,,PT100  electrode, ,
420823 Bevel Water Tube ,420823,,,420823, ,
420732Extreme Bevel Electrode,420732,,,420732, ,
420734Extreme Bevel Nozzle,420734,,,420734, ,
420737,420737,,,420737, ,
220925 Electrode,220925,,,220925, ,
CB150 Gas Diffuser,967,,,967, ,
CB150 nozzle,966,,,966, ,
CB150 electrode,965,,,965, ,
CB70 Gas Diffuser,964,,,964, ,
CB70 Exterior Protective Cup,963,,,963, ,
CB70 short nozzle,962,,,962, ,
CB70 short electrode,961,,,961, ,
TC60 ceramic mug,960,,,960, ,
TC60 gas difusor,959,,,959, ,
TC60 electrode,958,,,958, ,
TC60 nozzle,957,,,957, ,
PT31 normal elecrtode,955,,,955, ,
220182,954,,,954, ,
HPR260 220665 silver,220665,,,220665, ,
HPR260 220666 silver,220666,,,220666, ,
HPR260 220668 silver,220668,,,220668, ,
PT31 normal electrode,952,,,952, ,
PT31 normal nozzle,951,,,951, ,
PT31  electrode,950,,,950, ,
PT31  nozzle,949,,,949, ,
#NAME?,947,,,947,">=0 ,    - ",
25AK5米(5.2M,lainer 25AK-5M(5.2M),,,lainer 25AK-5M(5.2M),">=0 ,    - ",
26w8米，弯折头,wp26-8m(Flexible head),,,wp26-8m(Flexible head),">=0 ,    - ",
45v26/2.4,45v26/2.4,,,45v26/2.4,">=0 ,    - ",
WP 26 短尾盖 short tail,WP 26  short tail,,,WP 26  short tail,">=0 ,    - ",
"wp26 Ceramic washer 1pcs 垫
卷",wp26 Ceramic washer 1pcs,,,wp26 Ceramic washer 1pcs,">=0 ,    - ",
9-8215 Electrode,9-8215 Electrode,,,9-8215 Electrode,">=0 ,    - ",
8256 8235,8256 8235,,,8256 8235,">=0 ,    - ",
OBC-315B,"Heating type carbon dioxide meter

220V",,,"Heating type carbon dioxide meter

220V",">=0 ,    - ",
16S-45,16S-45,,,16S-45,">=0 ,    - ",
45V26 Adapter,45V26 Adapter,,,45V26 Adapter,">=0 ,    - ",
AG60 电极,AG60 electrode,,,AG60 electrode,">=0 ,    - ",
AG60 喷嘴,AG60 nozzle,,,AG60 nozzle,">=0 ,    - ",
AG60 陶瓷保护盖,AG60,,,AG60,">=0 ,    - ",
AG60 双点支架,945,,,945,">=0 ,    - ",
500,10-25 Female Male,,,10-25 Female Male,">=0 ,    - ",
600,35-50 Female Male,,,35-50 Female Male,">=0 ,    - ",
700,50-70 Female Male,,,50-70 Female Male,">=0 ,    - ",
270035 WP26电极夹 mediumtail: (2.4),270035 WP26 mediumtail: (2.4),,,270035 WP26 mediumtail: (2.4),">=0 ,    - ",
Gas Nozzle,Gas Nozzle,,,Gas Nozzle,">=0 ,    - ",
HD54-16,HD54-16,,,HD54-16,">=0 ,    - ",
C02 OTC TIP HOLDER  350A,944,,,944, ,
C02 ORIFICE  350A,943,,,943, ,
C02 INSULATOR  350A,942,,,942, ,
C02 NOZZLE 350A,941,,,941, ,
CO2 CONTACT TIP  M6*45*1.2MM ,940,,,940, ,
25AK TORCH AND CABLE 3M euro conect,939,,,939, ,
420158,413,,,413,">=0 ,  USD 0.7400 - 0.8600",
Retaining Cup,220977,220977,,220977,">=0 ,    - ",
220976,425,,,425,">=0 ,  USD 1.4900 - 1.7100",
420168,424,,,424,">=0 ,  USD 1.4900 - 1.7100",
420151,426,,,426,">=0 ,  USD 0.7400 - 0.8600",
420152,420152,420152,,420152,">=0 ,  USD 1.8600 - 2.1400",
